"subject" "y" "x" "NA"
1 "Laying" 0.22159824394 -0.0405139534294
14 "Laying" 0.233275439803922 -0.0113424652490196
20 "Laying" 0.239507882205882 -0.0144406281132353
19 "Walking_Up_Stairs" 0.242118808925 -0.0303986615775
2 "Walking_Up_Stairs" 0.247164790395833 -0.0214121132045833
9 "Sitting" 0.24832674354 -0.02701677698
22 "Walking_Up_Stairs" 0.248391534566667 -0.0268622561133333
6 "Laying" 0.248656520140351 -0.0102529170561404
7 "Walking_Up_Stairs" 0.248706923078431 -0.0275639005607843
23 "Walking_Up_Stairs" 0.249995171031373 -0.0323844029237255
7 "Laying" 0.250176694038462 -0.0204411516884615
25 "Laying" 0.250791828613699 -0.0188943663671233
20 "Walking_Up_Stairs" 0.252098317156863 -0.0282258047588235
17 "Walking_Up_Stairs" 0.252604768583333 -0.0228645614308333
1 "Walking_Up_Stairs" 0.255461689622641 -0.0239531492643396
16 "Walking_Up_Stairs" 0.255986102627451 -0.0143654945011765
3 "Sitting" 0.257197599134615 -0.00350299841730769
13 "Walking_Up_Stairs" 0.258203939581818 -0.0277392253910909
26 "Sitting" 0.258243530166667 -0.00713364541358974
8 "Walking_Up_Stairs" 0.258880152048781 -0.0282415136341463
9 "Laying" 0.2591955368 -0.020526821662
12 "Laying" 0.260113433 -0.0175203917146667
3 "Walking_Up_Stairs" 0.260819873067797 -0.0324109410555932
1 "Sitting" 0.261237565425532 -0.00130828765170213
8 "Laying" 0.261254282907407 -0.0212281733881481
28 "Walking_Up_Stairs" 0.262005841764706 -0.0279443943478431
14 "Walking_Up_Stairs" 0.26242106612963 -0.0204388180024074
9 "Walking_Up_Stairs" 0.262436475714286 -0.0195101099975714
19 "Walking_Down_Stairs" 0.262688053871795 -0.0145942275069487
4 "Laying" 0.263559214981481 -0.0150031841055556
11 "Walking_Up_Stairs" 0.263775859277778 -0.0303157822055556
21 "Walking_Up_Stairs" 0.265194544680851 -0.0237218695148936
18 "Walking_Up_Stairs" 0.265401201896552 -0.0222060684378914
29 "Walking_Up_Stairs" 0.265423066877551 -0.0299465312326531
27 "Walking_Up_Stairs" 0.265770253921569 -0.0200953324078431
10 "Walking_Up_Stairs" 0.267121853404255 -0.0143854920340426
8 "Sitting" 0.267491472934783 -0.00672550621304348
6 "Walking_Up_Stairs" 0.268229355098039 -0.0272425385070588
30 "Sitting" 0.268336081379032 -0.00804731295322581
5 "Walking_Up_Stairs" 0.268459469914894 -0.0325269755153191
17 "Laying" 0.269780085577465 -0.0168462006729577
24 "Walking_Up_Stairs" 0.269881106779661 -0.0251979434569492
15 "Walking_Up_Stairs" 0.270187595833333 -0.0287523860708333
10 "Sitting" 0.270612056481481 -0.015042681852037
4 "Walking_Up_Stairs" 0.270876696730769 -0.0319804295729615
21 "Laying" 0.271325472455556 -0.0184233048415556
30 "Walking_Up_Stairs" 0.271415642261538 -0.0253311698786154
4 "Sitting" 0.27153827992 -0.007163065158
26 "Laying" 0.271645864540789 -0.0191895728026316
11 "Walking" 0.271821892881356 -0.0166475833623729
14 "Walking" 0.271959598644068 -0.0217785380966102
29 "Walking" 0.271999916792453 -0.0162915600588679
17 "Walking" 0.272341855245902 -0.0184875403339344
20 "Walking" 0.272589336470588 -0.021199992245098
19 "Laying" 0.272653733493976 -0.0171426864421687
26 "Walking_Up_Stairs" 0.272691394545455 -0.0281633797398182
24 "Laying" 0.272850494930556 -0.0173555210111111
15 "Sitting" 0.27290337979661 -0.0117188472271186
12 "Walking_Up_Stairs" 0.272970338653846 -0.0263574903403846
23 "Walking" 0.273211884237288 -0.0183618711932203
23 "Sitting" 0.273351251617647 -0.0133945015676471
24 "Sitting" 0.273475690147059 -0.0131255097938235
22 "Sitting" 0.273583822709677 -0.0123468446419355
5 "Sitting" 0.273694139545455 -0.00990083527045455
19 "Sitting" 0.273830316164384 -0.016739260030137
18 "Walking" 0.273887758571429 -0.0178023631866071
15 "Walking" 0.273899207962963 -0.0170809740090741
19 "Walking" 0.273931172307692 -0.0191773587903846
27 "Sitting" 0.273941302571429 -0.0155269799285714
23 "Laying" 0.274038007986111 -0.0216553835833333
27 "Laying" 0.274102492432432 -0.0179867611216216
16 "Laying" 0.274227162571429 -0.0166103510562857
13 "Sitting" 0.274328499591837 -0.00587732936326531
8 "Walking" 0.27468631 -0.0186628865310417
18 "Laying" 0.274691576923077 -0.0173937684615385
12 "Sitting" 0.275007224901961 -0.0157892988523529
3 "Laying" 0.275516852741935 -0.0189556785048387
3 "Walking" 0.275567462068966 -0.0171767844203448
7 "Walking" 0.275592961754386 -0.018653665345614
13 "Walking" 0.275883130350877 -0.0185660651947368
28 "Laying" 0.2759134825 -0.0167537858225
16 "Walking" 0.276023564509804 -0.0204286929452941
30 "Walking" 0.276406758 -0.0175880385730769
2 "Walking" 0.276426586440678 -0.0185949199145763
11 "Sitting" 0.276590197358491 -0.0149195616754717
10 "Standing" 0.276650300681818 -0.0155418603409091
13 "Laying" 0.276716360483871 -0.020440454366129
6 "Sitting" 0.276778487454545 -0.0145911615290909
27 "Walking" 0.276849485438596 -0.0166478783221912
21 "Standing" 0.27695224258427 -0.0167084730205618
28 "Sitting" 0.276977629444444 -0.0185404441258333
24 "Walking" 0.276980816034483 -0.0225446400534483
6 "Walking_Down_Stairs" 0.277045258145833 -0.019536840063125
2 "Sitting" 0.27708735173913 -0.0156879937282609
30 "Standing" 0.277112699152542 -0.0170163887813559
12 "Walking" 0.2771286656 -0.015560927606
29 "Sitting" 0.2771799775 -0.016630680375
18 "Sitting" 0.27727001877193 -0.0128691279736842
1 "Walking" 0.277330758736842 -0.0173838185273684
17 "Sitting" 0.2773570196875 -0.014156274084375
12 "Standing" 0.277405834918033 -0.0169002543196721
21 "Sitting" 0.277539616823529 -0.0144009705494118
